image_path,split,wagner_grade,laplacian_var,is_soft_blur,brightness,is_dark,is_bright,contrast_rms,is_low_contrast,saturation_mean,under_exposure_pct,over_exposure_pct,has_border
test/Grade 1/301094_jpg.rf.7d3b7163e735de53aecfcd7afa599c35.jpg,test,0,10.04,True,0.2973,False,False,0.1384,False,0.5504,0.0,0.0,False
test/Grade 1/301508_jpg.rf.2c2f164dce4ad0fbc7073591101e36e0.jpg,train,0,10.89,True,0.2125,False,False,0.0932,False,0.4826,0.0,0.0,False
test/Grade 1/301613_jpg.rf.250d2c749ee82a2b07c39bb419327bda.jpg,test,0,16.9,True,0.5565,False,False,0.1137,False,0.2598,0.0,0.0,False
test/Grade 1/302254_jpg.rf.599d0464dac05b7636e9ba9b7bae5a3c.jpg,train,0,14.23,True,0.4605,False,False,0.1129,False,0.4955,0.0,0.0,False
test/Grade 1/302397_jpg.rf.8a0f22943d1eae8934eeb2dd45158397.jpg,train,0,6.61,True,0.2513,False,False,0.0865,False,0.4698,0.0,0.0,False
test/Grade 1/302446_jpg.rf.bad3e616bcb18b417a628f28ead308cf.jpg,train,0,10.48,True,0.3405,False,False,0.0712,True,0.4945,0.0,0.0,False
test/Grade 1/302708_jpg.rf.882f33a037daa517454888fc82ce3657.jpg,train,0,7.14,True,0.4513,False,False,0.0775,True,0.1942,0.0,0.0,False
test/Grade 1/303154_jpg.rf.647c38fb0e5cd1712296dd4710b07014.jpg,train,0,14.06,True,0.4778,False,False,0.0623,True,0.3036,0.0,0.0,False
test/Grade 1/303600_jpg.rf.c04f1250de5485fd4e25f5fa462fc6b7.jpg,train,0,8.72,True,0.5505,False,False,0.0729,True,0.3338,0.0,0.0,False
test/Grade 1/306052_jpg.rf.180ea8115e98fccd69cd3931763161cd.jpg,train,0,17.92,True,0.3601,False,False,0.0736,True,0.6096,0.0,0.0,False
test/Grade 2/218_jpg.rf.1c424170637f36673edb1627c08cbf1d.jpg,train,1,13.75,True,0.3599,False,False,0.1197,False,0.4506,0.0,0.0,False
test/Grade 2/301443_jpg.rf.252aacacabdc53f6d275826913531b46.jpg,train,1,14.38,True,0.5079,False,False,0.1606,False,0.2952,0.0,0.0,False
test/Grade 2/302013_jpg.rf.f10414d26f33ba8f3564bad3a658102b.jpg,train,1,4.68,True,0.4362,False,False,0.1339,False,0.4158,0.0,0.0,False
test/Grade 2/302323_jpg.rf.b2b95f626d0aec7acfd75c8af3603623.jpg,train,1,4.2,True,0.4772,False,False,0.1399,False,0.5443,0.0,0.0,False
test/Grade 2/302914_jpg.rf.12759b3b63208701aeb6cf4d7bb49787.jpg,train,1,9.14,True,0.43,False,False,0.1598,False,0.3132,0.0,0.0,False
test/Grade 2/303138_jpg.rf.b0a251772baf9e628789a2946e10333d.jpg,test,1,7.82,True,0.46,False,False,0.0774,True,0.506,0.0,0.0,False
test/Grade 2/303228_jpg.rf.0da7a9c0b7840d792a20b69cbd54b024.jpg,train,1,14.72,True,0.309,False,False,0.0864,False,0.6122,0.0,0.0,False
test/Grade 2/303244_jpg.rf.addd3adf3da21ba42d58b53bbf0177a7.jpg,train,1,12.26,True,0.33,False,False,0.0827,False,0.3512,0.0,0.0,False
test/Grade 2/306142_jpg.rf.e72e573b0c85bd6e47c4af58c622ae9d.jpg,train,1,7.93,True,0.5484,False,False,0.0735,True,0.239,0.0,0.0,False
test/Grade 3/302986_jpg.rf.52fc9434eb1562e18187a823e9b7944f.jpg,test,2,18.33,True,0.3293,False,False,0.0558,True,0.3801,0.0,0.0,False
test/Grade 3/303157_jpg.rf.95b6224efef238a23efa36bd6d3c5cd5.jpg,train,2,8.2,True,0.4521,False,False,0.0836,False,0.4816,0.0,0.0,False
test/Grade 4/302851_jpg.rf.8bec370e9055f2b3a7034f1acfa18238.jpg,train,3,7.98,True,0.4309,False,False,0.1602,False,0.305,0.0,0.0,False
test/Grade 4/302950_jpg.rf.ce99a164ee9a3b10da77fd97ba71672d.jpg,train,3,8.41,True,0.2324,False,False,0.117,False,0.5841,0.0,0.0,False
train/Grade 1/151_jpg.rf.c81c6aa586dd03f13c8662d866aa3fcd.jpg,train,0,12.93,True,0.2821,False,False,0.064,True,0.3317,0.0,0.0,False
train/Grade 1/301001_jpg.rf.1f210a38f4a61e15b8a5fd5e0b670d6e.jpg,train,0,12.42,True,0.4094,False,False,0.0711,True,0.5662,0.0,0.0,False
train/Grade 1/301123_jpg.rf.e0c0a32fa58edd17632b0fb07bbce095.jpg,val,0,9.41,True,0.4177,False,False,0.0862,False,0.3854,0.0,0.0,False
train/Grade 1/301131_jpg.rf.de62438aea89e6e938ad73f30d9542cf.jpg,train,0,14.49,True,0.4145,False,False,0.0654,True,0.32,0.0,0.0,False
