image_1,split_1,class_1,image_2,split_2,class_2,match_type,cross_split_leakage,cross_class_conflict,dhash_hamming_distance
train/Grade 1/301438_jpg.rf.8e79eecd1bed6fde9dc2d8eb2ee39908.jpg,train,Grade 1,train/Grade 1/301438_jpg.rf.c29f91532ec816291603f0aef0230153.jpg,train,Grade 1,EXACT_SHA256,False,False,
train/Grade 1/303558_jpg.rf.2ca2197b4328c02c31c796024254b839.jpg,train,Grade 1,train/Grade 1/303558_jpg.rf.49f97afdfd23a43cafd67e6a98669d04.jpg,train,Grade 1,EXACT_SHA256,False,False,
train/Grade 1/334_jpg.rf.1751023840343cc4ede1443d29c39ec0.jpg,train,Grade 1,train/Grade 1/334_jpg.rf.7c74590b9afd8a457f2d38d91a9c17db.jpg,train,Grade 1,EXACT_SHA256,False,False,
train/Grade 2/192_jpg.rf.44a3dd28bbc0fba8ce41a70cddfc60a5.jpg,train,Grade 2,train/Grade 2/192_jpg.rf.6a970ed66f926d646e8989eb9e608552.jpg,train,Grade 2,EXACT_SHA256,False,False,
train/Grade 2/301200_jpg.rf.80bd0705eb017f5d269720530d115a1c.jpg,train,Grade 2,train/Grade 2/301200_jpg.rf.a87fcb8eaa6a5d321d572a2ac82e47b2.jpg,train,Grade 2,EXACT_SHA256,False,False,
train/Grade 2/302303_jpg.rf.44053da24fe41f73eb708e08e725a8ef.jpg,train,Grade 2,train/Grade 2/302303_jpg.rf.648acbbe98257f2627f001bf78b95b70.jpg,train,Grade 2,EXACT_SHA256,False,False,
train/Grade 3/303048_jpg.rf.62cfdb113a37ab7985fbc682717613c4.jpg,train,Grade 3,train/Grade 3/303048_jpg.rf.7f2b3ce7f4ab47cc53dd63b5aaaa831f.jpg,train,Grade 3,EXACT_SHA256,False,False,
train/Grade 3/304224_jpg.rf.1e83f24597dc4be66451313290669e10.jpg,train,Grade 3,train/Grade 3/304224_jpg.rf.24f0360c7421876e9ae8cb111281df99.jpg,train,Grade 3,EXACT_SHA256,False,False,
train/Grade 3/305338_jpg.rf.23c1c1076523de7fa62f9d2d130029e9.jpg,train,Grade 3,train/Grade 3/305338_jpg.rf.fa9d88fe9131373758a2ef14aea98e1e.jpg,train,Grade 3,EXACT_SHA256,False,False,
train/Grade 3/305439_jpg.rf.576c6a85b640d9cf73e9f33d7b682dd7.jpg,train,Grade 3,train/Grade 3/305439_jpg.rf.77cb90a7ba84e4ccc0258d82f63bea03.jpg,train,Grade 3,EXACT_SHA256,False,False,
train/Grade 3/498_jpg.rf.42c2be53f2d39930fe89a8f8532a8ad8.jpg,train,Grade 3,train/Grade 3/498_jpg.rf.8fc9d7859fb68fda0f85689094f93cec.jpg,train,Grade 3,EXACT_SHA256,False,False,
train/Grade 4/501544_jpg.rf.67054514cf994ad5f4788a220c087426.jpg,train,Grade 4,train/Grade 4/501544_jpg.rf.86b4cc9bd10f4a48d8e49a093f1f69b2.jpg,train,Grade 4,EXACT_SHA256,False,False,
train/Grade 4/303682_jpg.rf.c91b8d35ef8818623ac2c3ecd49551a4.jpg,train,Grade 4,train/Grade 4/303682_jpg.rf.d8f5d42458ee6943df73204429911bdd.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/303682_jpg.rf.c91b8d35ef8818623ac2c3ecd49551a4.jpg,train,Grade 4,train/Grade 4/303682_jpg.rf.ed487d6ecb83a954c6d9e1438568db60.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/303682_jpg.rf.d8f5d42458ee6943df73204429911bdd.jpg,train,Grade 4,train/Grade 4/303682_jpg.rf.ed487d6ecb83a954c6d9e1438568db60.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 4/306022_jpg.rf.8da5af368884fe909bfdbb5b447e9892.jpg,train,Grade 4,train/Grade 4/306022_jpg.rf.f63ff7ffea1cba3b78466e6bb883ac9d.jpg,train,Grade 4,NEAR_DUPLICATE_DHASH,False,False,2.0
train/Grade 1/223_jpg.rf.0e806fc423ad5889b3512e4eef6ec022.jpg,train,Grade 1,train/Grade 1/223_jpg.rf.d0940cb100dfc6b899f6c58f87225295.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,0.0
train/Grade 1/223_jpg.rf.163949b2c6044fe6553b8e431928d0c7.jpg,train,Grade 1,train/Grade 1/223_jpg.rf.765bb5de683457b3e4707a680c01f35b.jpg,train,Grade 1,NEAR_DUPLICATE_DHASH,False,False,0.0
