image_a,image_b,source_id_a,source_id_b,grade_a,grade_b,class_a,class_b,dhash_distance,relationship_type,resolution_status
train/Grade 1/0cbt67mm0fr01_jpg.rf.1a03a7f02719ca031dbb45c510d6edf2.jpg,train/Grade 1/0cbt67mm0fr01_jpg.rf.313b744ae123d7c1b409c9c5e9797eac.jpg,0cbt67mm0fr01_jpg,0cbt67mm0fr01_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/0cbt67mm0fr01_jpg.rf.1a03a7f02719ca031dbb45c510d6edf2.jpg,train/Grade 1/0cbt67mm0fr01_jpg.rf.aa98c425ab72739d039ea4f05243c109.jpg,0cbt67mm0fr01_jpg,0cbt67mm0fr01_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/0cbt67mm0fr01_jpg.rf.313b744ae123d7c1b409c9c5e9797eac.jpg,train/Grade 1/0cbt67mm0fr01_jpg.rf.aa98c425ab72739d039ea4f05243c109.jpg,0cbt67mm0fr01_jpg,0cbt67mm0fr01_jpg,0,0,Grade 1,Grade 1,2,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/104_jpg.rf.564021873be0e0e6c38c35469f0aa108.jpg,train/Grade 1/104_jpg.rf.707be7bb9fe45ba86cca3c5bc2309d3c.jpg,104_jpg,104_jpg,0,0,Grade 1,Grade 1,1,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/115_jpg.rf.01cd2037b9f698ebe01aa24234091699.jpg,train/Grade 3/51754591_2131917850178589_3095084442885029888_n_jpg.rf.9bff96a5063820db39801f30098f3d9a.jpg,115_jpg,51754591_2131917850178589_3095084442885029888_n_jpg,0,2,Grade 1,Grade 3,4,TYPE_3_DIFF_SOURCE_DIFF_CLASS,FLAGGED_CROSS_CLASS_AMBIGUITY
train/Grade 1/115_jpg.rf.01cd2037b9f698ebe01aa24234091699.jpg,train/Grade 4/52985842_2191114764444546_3837081889135394816_n_jpg.rf.f62db499ff7efeecf5ce1811bcd45dff.jpg,115_jpg,52985842_2191114764444546_3837081889135394816_n_jpg,0,3,Grade 1,Grade 4,4,TYPE_3_DIFF_SOURCE_DIFF_CLASS,FLAGGED_CROSS_CLASS_AMBIGUITY
train/Grade 1/115_jpg.rf.7cb54d591b8181f8622cf37cd0aaadd7.jpg,train/Grade 1/115_jpg.rf.c0f05c2a661e29c81613ef0c52728127.jpg,115_jpg,115_jpg,0,0,Grade 1,Grade 1,0,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/115_jpg.rf.9e927cdf80b9f14ffe1b60707446e73f.jpg,train/Grade 1/115_jpg.rf.a3d7ea1bc4aefdfe63d9448efa42ab2b.jpg,115_jpg,115_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/115_jpg.rf.9e927cdf80b9f14ffe1b60707446e73f.jpg,train/Grade 1/115_jpg.rf.c6c04849d290ac33fae39cad07a3f050.jpg,115_jpg,115_jpg,0,0,Grade 1,Grade 1,4,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
train/Grade 1/115_jpg.rf.a3d7ea1bc4aefdfe63d9448efa42ab2b.jpg,train/Grade 1/115_jpg.rf.c6c04849d290ac33fae39cad07a3f050.jpg,115_jpg,115_jpg,0,0,Grade 1,Grade 1,3,TYPE_1_SAME_SOURCE_GROUP,RESOLVED_BY_GROUP_SPLITTING
